Message,Category,cleaned_message
Your transaction ID is TXN398252. Please keep it for your records.,Transactional,your transaction id is txn398252 please keep it for your records
Your transaction ID is TXN486363. Please keep it for your records.,Transactional,your transaction id is txn486363 please keep it for your records
Your transaction ID is TXN545385. Please keep it for your records.,Transactional,your transaction id is txn545385 please keep it for your records
Your package with tracking ID 903753 has been shipped.,Transactional,your package with tracking id 903753 has been shipped
Your payment of ₹8857 was successful.,Transactional,your payment of 8857 was successful
Your payment of ₹9415 was successful.,Transactional,your payment of 9415 was successful
Your OTP is 637869. Do not share it with anyone.,Transactional,your otp is 637869 do not share it with anyone
Your package with tracking ID 621721 has been shipped.,Transactional,your package with tracking id 621721 has been shipped
Your package with tracking ID 971078 has been shipped.,Transactional,your package with tracking id 971078 has been shipped
Your OTP is 351027. Do not share it with anyone.,Transactional,your otp is 351027 do not share it with anyone
Your transaction ID is TXN734166. Please keep it for your records.,Transactional,your transaction id is txn734166 please keep it for your records
Your payment of ₹667 was successful.,Transactional,your payment of 667 was successful
Your package with tracking ID 638528 has been shipped.,Transactional,your package with tracking id 638528 has been shipped
Your OTP is 141594. Do not share it with anyone.,Transactional,your otp is 141594 do not share it with anyone
Your transaction ID is TXN677504. Please keep it for your records.,Transactional,your transaction id is txn677504 please keep it for your records
Your package with tracking ID 460092 has been shipped.,Transactional,your package with tracking id 460092 has been shipped
Your package with tracking ID 940316 has been shipped.,Transactional,your package with tracking id 940316 has been shipped
Your package with tracking ID 629178 has been shipped.,Transactional,your package with tracking id 629178 has been shipped
Your OTP is 469853. Do not share it with anyone.,Transactional,your otp is 469853 do not share it with anyone
Your transaction ID is TXN751897. Please keep it for your records.,Transactional,your transaction id is txn751897 please keep it for your records
Your payment of ₹4096 was successful.,Transactional,your payment of 4096 was successful
Your payment of ₹3853 was successful.,Transactional,your payment of 3853 was successful
Your payment of ₹7569 was successful.,Transactional,your payment of 7569 was successful
Your OTP is 786418. Do not share it with anyone.,Transactional,your otp is 786418 do not share it with anyone
Your payment of ₹9532 was successful.,Transactional,your payment of 9532 was successful
Your package with tracking ID 992481 has been shipped.,Transactional,your package with tracking id 992481 has been shipped
Your payment of ₹3973 was successful.,Transactional,your payment of 3973 was successful
Your package with tracking ID 434288 has been shipped.,Transactional,your package with tracking id 434288 has been shipped
Your package with tracking ID 656691 has been shipped.,Transactional,your package with tracking id 656691 has been shipped
Your OTP is 640445. Do not share it with anyone.,Transactional,your otp is 640445 do not share it with anyone
Your transaction ID is TXN336928. Please keep it for your records.,Transactional,your transaction id is txn336928 please keep it for your records
Your transaction ID is TXN656659. Please keep it for your records.,Transactional,your transaction id is txn656659 please keep it for your records
Your payment of ₹9370 was successful.,Transactional,your payment of 9370 was successful
Your OTP is 384069. Do not share it with anyone.,Transactional,your otp is 384069 do not share it with anyone
Your OTP is 847318. Do not share it with anyone.,Transactional,your otp is 847318 do not share it with anyone
Your transaction ID is TXN145203. Please keep it for your records.,Transactional,your transaction id is txn145203 please keep it for your records
Your payment of ₹6546 was successful.,Transactional,your payment of 6546 was successful
Your payment of ₹6510 was successful.,Transactional,your payment of 6510 was successful
Your payment of ₹7698 was successful.,Transactional,your payment of 7698 was successful
Your payment of ₹5649 was successful.,Transactional,your payment of 5649 was successful
Your package with tracking ID 519227 has been shipped.,Transactional,your package with tracking id 519227 has been shipped
Your package with tracking ID 604173 has been shipped.,Transactional,your package with tracking id 604173 has been shipped
Your payment of ₹3709 was successful.,Transactional,your payment of 3709 was successful
Your transaction ID is TXN226677. Please keep it for your records.,Transactional,your transaction id is txn226677 please keep it for your records
Your OTP is 552826. Do not share it with anyone.,Transactional,your otp is 552826 do not share it with anyone
Your payment of ₹5269 was successful.,Transactional,your payment of 5269 was successful
Your package with tracking ID 388626 has been shipped.,Transactional,your package with tracking id 388626 has been shipped
Your transaction ID is TXN539359. Please keep it for your records.,Transactional,your transaction id is txn539359 please keep it for your records
Your payment of ₹5821 was successful.,Transactional,your payment of 5821 was successful
Your OTP is 169375. Do not share it with anyone.,Transactional,your otp is 169375 do not share it with anyone
